"";"Občine";"Leto";"Spol";"Izobrazba...SKUPAJ";"Osnovnošolska.ali.manj";"Srednješolska";"Višješolska..visokošolska";"Neznano"
"1";"SLOVENIJA";2005;"Spol - SKUPAJ";813529;"166006";467661;"170744";9118
"2";"SLOVENIJA";2005;"Moški";454704;"100017";274130;"74223";6334
"3";"SLOVENIJA";2005;"Ženske";358825;"65989";193532;"96521";2784
"4";"SLOVENIJA";2006;"Spol - SKUPAJ";833003;"166684";478116;"179520";8683
"5";"SLOVENIJA";2006;"Moški";468256;"102143";282466;"77536";6111
"6";"SLOVENIJA";2006;"Ženske";364746;"64541";195650;"101984";2572
"7";"SLOVENIJA";2007;"Spol - SKUPAJ";864351;"171544";494925;"189643";8239
"8";"SLOVENIJA";2007;"Moški";489779;"108336";294384;"81172";5887
"9";"SLOVENIJA";2007;"Ženske";374572;"63208";200541;"108471";2352
"10";"SLOVENIJA";2008;"Spol - SKUPAJ";880205;"172650";500106;"199794";7655
"11";"SLOVENIJA";2008;"Moški";498978;"111112";297976;"84631";5259
"12";"SLOVENIJA";2008;"Ženske";381227;"61538";202130;"115163";2396
"13";"SLOVENIJA";2009;"Spol - SKUPAJ";844655;"138018";493350;"207865";5422
"14";"SLOVENIJA";2009;"Moški";475402;"87980";296115;"87489";3817
"15";"SLOVENIJA";2009;"Ženske";369253;"50037";197235;"120377";1604
"16";"SLOVENIJA";2010;"Spol - SKUPAJ";818975;"123631";477356;"213789";4199
"17";"SLOVENIJA";2010;"Moški";456823;"78247";286444;"89042";3090
"18";"SLOVENIJA";2010;"Ženske";362152;"45384";190912;"124747";1109
"19";"SLOVENIJA";2011;"Spol - SKUPAJ";817311;"116657";472775;"227879";NA
"20";"SLOVENIJA";2011;"Moški";452062;"72388";285042;"94632";NA
"21";"SLOVENIJA";2011;"Ženske";365249;"44269";187733;"133247";NA
"22";"SLOVENIJA";2012;"Spol - SKUPAJ";792948;"102442";457370;"233136";NA
"23";"SLOVENIJA";2012;"Moški";435493;"62576";276528;"96389";NA
"24";"SLOVENIJA";2012;"Ženske";357455;"39866";180842;"136747";NA
"25";"SLOVENIJA";2013;"Spol - SKUPAJ";791323;"96433";453333;"241557";NA
"26";"SLOVENIJA";2013;"Moški";433657;"58048";275765;"99844";NA
"27";"SLOVENIJA";2013;"Ženske";357666;"38385";177568;"141713";NA
"28";"SLOVENIJA";2014;"Spol - SKUPAJ";799958;"91227";457521;"251210";NA
"29";"SLOVENIJA";2014;"Moški";441226;"55367";281689;"104170";NA
"30";"SLOVENIJA";2014;"Ženske";358732;"35860";175832;"147040";NA
"31";"SLOVENIJA";2015;"Spol - SKUPAJ";803644;"84726";457765;"261153";NA
"32";"SLOVENIJA";2015;"Moški";440107;"50491";281659;"107957";NA
"33";"SLOVENIJA";2015;"Ženske";363537;"34235";176106;"153196";NA
"34";"SLOVENIJA";2016;"Spol - SKUPAJ";824485;"80554";468525;"275406";NA
"35";"SLOVENIJA";2016;"Moški";450071;"47810";288904;"113357";NA
"36";"SLOVENIJA";2016;"Ženske";374414;"32744";179621;"162049";NA
"37";"SLOVENIJA";2017;"Spol - SKUPAJ";856201;"80989";480812;"294400";NA
"38";"SLOVENIJA";2017;"Moški";467805;"48345";298392;"121068";NA
"39";"SLOVENIJA";2017;"Ženske";388396;"32644";182420;"173332";NA
"40";"Ajdovščina";2005;"Spol - SKUPAJ";7351;"1658";4190;"1413";90
"41";"Ajdovščina";2005;"Moški";4298;"1063";2614;"573";48
"42";"Ajdovščina";2005;"Ženske";3052;"595";1575;"840";42
"43";"Ajdovščina";2006;"Spol - SKUPAJ";7500;"1633";4284;"1499";84
"44";"Ajdovščina";2006;"Moški";4397;"1051";2696;"605";45
